genre,key,mode,time_signature,acousticness,danceability,energy,instrumentalness,liveness,loudness,valence,tempo
blues,5,1,4,0.206,0.574,0.667,0.352,0.0852,-5.425,0.546,88.299
blues,7,1,4,0.687,0.533,0.459,0,0.0773,-5.499,0.386,97.213
blues,2,1,4,0.579,0.601,0.574,1.14E-05,0.216,-8.166,0.8,147.964
blues,0,1,4,0.0983,0.632,0.586,0.581,0.0535,-11.333,0.89,114.243
blues,9,0,4,0.106,0.532,0.728,0.0108,0.0849,-9.079,0.69,134.303
blues,0,1,4,0.191,0.553,0.576,0.00664,0.0365,-13.458,0.457,109.827
blues,5,1,4,0.0178,0.549,0.789,6.68E-05,0.059,-6.071,0.715,136.125
blues,9,1,4,0.8,0.695,0.336,0.00264,0.701,-12.999,0.422,79.109
blues,2,0,4,0.000443,0.485,0.892,0,0.1,-3.586,0.576,142.046
blues,0,1,4,0.123,0.553,0.89,0,0.139,-4.879,0.674,87.871
blues,2,1,4,0.25,0.505,0.476,0.00915,0.113,-12.897,0.542,99.31
blues,5,1,4,0.74,0.571,0.281,0,0.163,-10.56,0.294,142.263
blues,10,0,4,0.0311,0.654,0.726,6.35E-05,0.0618,-3.803,0.728,103.987
blues,9,1,4,0.373,0.63,0.551,5.75E-05,0.103,-9.28,0.518,143.868
blues,11,1,4,0.455,0.619,0.623,0,0.167,-6.33,0.309,76.037
blues,2,1,4,0.161,0.365,0.466,6.68E-06,0.106,-7.514,0.487,95.163
blues,2,1,4,0.385,0.683,0.594,8.61E-05,0.121,-8.289,0.734,115.099
blues,0,1,4,0.249,0.653,0.677,0,0.403,-12.244,0.888,114.37
blues,4,0,4,0.142,0.64,0.651,0.28,0.0341,-14.981,0.801,111.676
blues,9,1,4,0.0132,0.524,0.578,0.00921,0.108,-4.563,0.537,123.669
blues,2,1,4,0.0202,0.493,0.586,0.00106,0.102,-13.916,0.656,113.618
blues,4,1,4,0.435,0.461,0.936,9.13E-05,0.124,-6.866,0.804,172.404
blues,7,1,4,0.298,0.541,0.608,0,0.234,-13.083,0.938,171.992
blues,7,1,4,0.00596,0.412,0.676,0.112,0.209,-7.341,0.557,155.431
blues,6,1,4,0.181,0.515,0.534,0.00278,0.0547,-8.045,0.426,70.776
blues,4,1,4,0.724,0.754,0.449,0,0.162,-14.013,0.973,82.751
blues,7,0,4,0.864,0.399,0.326,0,0.191,-9.239,0.546,79.206
blues,9,1,3,0.926,0.382,0.33,0.000578,0.0744,-6.182,0.3,181.455
blues,2,1,4,0.0183,0.484,0.711,0.173,0.0941,-7.784,0.49,148.189
blues,9,1,4,0.00603,0.346,0.768,0.38,0.0244,-5.695,0.532,169.492
blues,2,1,4,0.16,0.364,0.928,1.58E-05,0.315,-4.015,0.677,175.878
blues,9,1,4,0.00463,0.457,0.613,0.000441,0.0711,-5.756,0.132,105.11
blues,0,1,4,0.678,0.831,0.683,0.00197,0.332,-7.403,0.948,92.31
blues,9,1,1,0.132,0.598,0.853,0.00298,0.132,-5.373,0.315,122.012
blues,6,1,4,0.081,0.49,0.753,2.74E-06,0.268,-5.41,0.325,156.241
blues,9,0,4,0.00378,0.609,0.674,0.000302,0.129,-6.506,0.743,127.541
blues,8,0,4,0.285,0.803,0.498,1.29E-06,0.161,-5.389,0.836,92.034
blues,0,1,4,0.0452,0.264,0.78,0.0222,0.376,-2.741,0.456,155.376
classical,3,1,4,0.985,0.0623,0.0757,0.867,0.128,-22.673,0.0399,65.366
classical,2,1,4,0.96,0.317,0.165,0.928,0.072,-15.964,0.264,145.023
classical,10,1,4,0.99,0.415,0.203,0.884,0.107,-14.827,0.161,85.33
classical,0,1,4,0.884,0.323,0.0445,0.794,0.125,-23.389,0.108,120.298
classical,8,1,3,0.994,0.366,0.0182,0.92,0.111,-24.439,0.165,59.892
classical,2,1,4,0.982,0.095,0.0445,0.88,0.106,-23.086,0.0481,74.48
classical,8,1,3,0.994,0.366,0.0182,0.92,0.111,-24.439,0.165,59.892
classical,0,1,4,0.995,0.601,0.0332,0.89,0.0636,-26.304,0.332,91.972
classical,5,1,3,0.977,0.172,0.105,0.871,0.0987,-20.553,0.103,176.597
classical,0,1,4,0.983,0.288,0.204,0.881,0.118,-18.486,0.687,123.781
classical,9,1,4,0.99,0.516,0.153,0.928,0.113,-20.78,0.476,136.742
classical,2,1,4,0.979,0.0889,0.0257,0.756,0.0891,-23.343,0.0404,83.192
classical,2,1,4,0.979,0.0889,0.0257,0.756,0.0891,-23.343,0.0404,83.192
classical,7,0,4,0.961,0.323,0.178,0.795,0.158,-18.942,0.252,105.069
classical,7,1,4,0.974,0.425,0.274,0.945,0.101,-13.4,0.393,138.197
classical,10,1,4,0.99,0.319,0.131,0.914,0.119,-18.436,0.389,166.399
classical,5,1,4,0.972,0.135,0.045,0.908,0.116,-28.039,0.117,74.597
classical,5,1,4,0.986,0.284,0.049,0.849,0.158,-25.827,0.183,127.409
classical,7,1,4,0.974,0.425,0.274,0.945,0.101,-13.4,0.393,138.197
classical,5,1,3,0.977,0.172,0.105,0.871,0.0987,-20.553,0.103,176.597
classical,2,1,4,0.995,0.462,0.0152,0.91,0.117,-28.779,0.197,117.152
classical,0,1,4,0.983,0.288,0.204,0.881,0.118,-18.486,0.687,123.781
classical,7,1,4,0.974,0.425,0.274,0.945,0.101,-13.4,0.393,138.197
classical,0,1,3,0.988,0.192,0.0976,0.929,0.116,-20.488,0.0938,178.088
classical,2,1,4,0.994,0.496,0.0642,0.94,0.0795,-18.44,0.125,131.599
classical,7,0,4,0.988,0.356,0.311,0.848,0.182,-14.225,0.259,116.517
